Country,Year,Bronze,?Bronze,Silver, ?Silver,Gold, ?Gold,Net Upgrade,Gold/Bronze Ratio,Success Score
United States,1976,36,,56,,63,,,,2
United States,1984,50,14,115,59,168,105,91,3.36,2
United States,1988,52,2,64,-51,77,-91,-93,1.480769231,3
United States,1992,85,33,50,-14,89,12,-21,1.047058824,3
United States,1996,52,-33,48,-2,160,71,104,3.076923077,1
United States,2000,52,0,66,18,130,-30,-30,2.5,1
United States,2004,73,21,75,9,116,-14,-35,1.589041096,2
United States,2008,81,8,109,34,125,9,1,1.543209877,
Soviet Union,1976,79,,93,,113,,0,,2
Soviet Union,1980,123,44,127,34,192,79,35,1.56097561,2
Soviet Union,1988,95,-28,65,-62,134,-58,-30,1.410526316,
Australia,1976,8,,16,,,,0,,3
Australia,1980,5,-3,2,-14,5,5,8,1,1
Australia,1984,29,24,14,12,7,2,-22,0.24137931,3
Australia,1988,10,-19,6,-8,18,11,30,1.8,0
Australia,1992,16,6,27,21,14,-4,-10,0.875,3
Australia,1996,84,68,16,-11,32,18,-50,0.380952381,2
Australia,2000,54,-30,69,53,60,28,58,1.111111111,1
Australia,2004,30,-24,78,9,49,-11,13,1.633333333,2
Australia,2008,76,46,42,-36,31,-18,-64,0.407894737,
Germany,1992,60,,57,,81,,0,,2
Germany,1996,47,-13,35,-22,42,-39,-26,0.893617021,2
Germany,2000,65,18,23,-12,31,-11,-29,0.476923077,2
Germany,2004,63,-2,45,22,41,10,12,0.650793651,3
Germany,2008,43,-20,16,-29,42,1,21,0.976744186,
China,1984,37,,13,,26,,0,,1
China,1988,31,-6,16,3,6,-20,-14,0.193548387,1
China,1992,19,-12,46,30,18,12,24,0.947368421,1
China,1996,17,-2,74,28,19,1,3,1.117647059,3
China,2000,17,0,23,-51,39,20,20,2.294117647,2
China,2004,15,-2,27,4,52,13,15,3.466666667,2
China,2008,57,42,53,26,74,22,-20,1.298245614,
Russia,1996,34,,45,,36,,0,,2
Russia,2000,54,20,68,23,66,30,10,1.222222222,2
Russia,2004,96,42,49,-19,47,-19,-61,0.489583333,2
Russia,2008,56,-40,44,-5,43,-4,36,0.767857143,
,,,,,,,,,,
